anchor,layer,run_kind,n_items,n_rows,attention_mass_question,attention_mass_options,attention_mass_question_options,attention_mass_wrapper_syntax,attention_mass_instruction,attention_entropy,content_vs_wrapper_focus_ratio
all_option_ends,26,vanilla_same_item,285,3420,0.69514381766145,0.09241413326004604,0.7875579509214959,0.21244204974956593,0.0,2.305877999360101,5.115005051034998
all_option_ends,27,clean_correct_wrapped,285,3420,0.25554142300344523,0.21821771926221936,0.4737591422656646,0.5262408578221016,0.0,3.4350234541976663,1.8724179942757926
all_option_ends,27,corrupt_wrong_wrapped,285,3420,0.2596555834495849,0.22640520811066636,0.4860607915602513,0.5139392081487445,0.0,3.4594222204378475,2.1606143732673937
all_option_ends,27,vanilla_same_item,285,3420,0.425205936518427,0.21857789647443251,0.6437838329928595,0.356216167854363,0.0,3.2064807534217836,2.9685724761325916
options_end,0,clean_correct_wrapped,285,3420,0.09278450491867334,0.7016984649513547,0.794482969870028,0.20551702775627248,0.0,1.813682537434178,68732405603.13463
options_end,0,corrupt_wrong_wrapped,285,3420,0.09527173330958576,0.7036486185365806,0.7989203518461663,0.20107964556338428,0.0,1.8145208259078276,68833618267.71979
options_end,0,vanilla_same_item,285,3420,0.12911173160629974,0.6850867977311405,0.8141985293374402,0.1858014681142994,0.0,1.824801216922686,71313969485.0422
options_end,1,clean_correct_wrapped,285,3420,0.13037244819734145,0.5611893197587703,0.6915617679561117,0.30843823161612605,0.0,2.9404390636679025,119.62087335685355
options_end,1,corrupt_wrong_wrapped,285,3420,0.1373963841035049,0.5638972860290029,0.7012936701325079,0.29870632993269075,0.0,2.96908473769388,252.90164229492848
options_end,1,vanilla_same_item,285,3420,0.16355766754225917,0.534828351719478,0.6983860192617372,0.3016139815705908,0.0,2.8177571581643925,162.42881635596603
options_end,2,clean_correct_wrapped,285,3420,0.07635881807785085,0.34226541997843496,0.4186242380562858,0.581375762673227,0.0,2.104208552268775,3.6061427761665605
options_end,2,corrupt_wrong_wrapped,285,3420,0.07571211563328943,0.3418683814378782,0.4175804970711676,0.5824195035758472,0.0,2.1224730319926266,3.5570807976991916
options_end,2,vanilla_same_item,285,3420,0.5302131293105283,0.3078770740619719,0.8380902033725002,0.16190979689904852,0.0,1.9179673169679634,42.040665713055716
options_end,3,clean_correct_wrapped,285,3420,0.1068153629907814,0.2956727352782837,0.40248809826906506,0.5975119009642244,0.0,2.030311162090092,4.753155126968342
options_end,3,corrupt_wrong_wrapped,285,3420,0.10595961042423709,0.2993328630786983,0.4052924735029354,0.5947075260683263,0.0,2.0521160735111486,11.687346988963018
options_end,3,vanilla_same_item,285,3420,0.5938618091480365,0.26544503247763107,0.8593068416256676,0.14069315873174146,0.0,1.7962253159903294,218.2307415520447
options_end,4,clean_correct_wrapped,285,3420,0.0958772736924067,0.23282827158708957,0.32870554527949625,0.6712944551874483,0.0,1.7311643266304237,3.1930675080910276
options_end,4,corrupt_wrong_wrapped,285,3420,0.09307548062009874,0.2335022040177386,0.3265776846378373,0.67342231477132,0.0,1.7311156988252847,4.551595854887114
options_end,4,vanilla_same_item,285,3420,0.6793376142110087,0.19470102009107246,0.8740386343020812,0.12596136503460598,0.0,1.5017975072490803,79.2562187443778
options_end,5,clean_correct_wrapped,285,3420,0.10254136114179536,0.3379535294847357,0.44049489062653113,0.5595051100671177,0.0,1.8979952627760277,12.740122536488903
options_end,5,corrupt_wrong_wrapped,285,3420,0.1007411637600122,0.3396387118617536,0.4403798756217658,0.5596201247635904,0.0,1.9121742888980093,8.801324708616987
options_end,5,vanilla_same_item,285,3420,0.6140246346772632,0.2944875068786985,0.9085121415559618,0.09148786034192523,0.0,1.6853404870877664,210.4911840792411
options_end,6,clean_correct_wrapped,285,3420,0.07078730259374942,0.25992769537563876,0.3307149979693882,0.6692850017854441,0.0,1.533450447169966,585.9510648466378
options_end,6,corrupt_wrong_wrapped,285,3420,0.07030840377533588,0.2602074699315632,0.330515873706899,0.6694841262946672,0.0,1.5262614922725992,120.82440241003945
options_end,6,vanilla_same_item,285,3420,0.6646588783531466,0.22907388714917198,0.8937327655023186,0.10626723406958342,0.0,1.3655698299722485,1903.6131970282727
options_end,7,clean_correct_wrapped,285,3420,0.12405927014558153,0.44310863793347893,0.5671679080790605,0.43283209238087855,0.0,2.496608660696891,8.056493082398786
options_end,7,corrupt_wrong_wrapped,285,3420,0.1248762150940096,0.44517671012134485,0.5700529252153544,0.42994707556503037,0.0,2.504892851935144,7.050456857486937
options_end,7,vanilla_same_item,285,3420,0.39634243021513216,0.3904447976284867,0.786787227843619,0.2132127718519758,0.0,2.3777106283090963,77.08672998467375
options_end,8,clean_correct_wrapped,285,3420,0.1085162999679735,0.35701366651702526,0.46552996648499884,0.5344700336947426,0.0,1.8995459342081296,10.1137912393474
options_end,8,corrupt_wrong_wrapped,285,3420,0.10304047039448812,0.358819370176044,0.46185984057053203,0.5381401590306109,0.0,1.9013311250189766,17.73934075872372
options_end,8,vanilla_same_item,285,3420,0.5816431075770255,0.3005790742777954,0.8822221818548209,0.11777781672332739,0.0,1.8467750040716246,1810.7647447264294
options_end,9,clean_correct_wrapped,285,3420,0.15024341220614906,0.30517856849920966,0.4554219807053587,0.5445780182232616,0.0,2.2126366284245638,2.847971967147873
options_end,9,corrupt_wrong_wrapped,285,3420,0.1438145174151569,0.31228380868148875,0.45609832609664563,0.543901672975037,0.0,2.213789622642492,4.627646549512246
options_end,9,vanilla_same_item,285,3420,0.5746812023110797,0.25393043344396365,0.8286116357550434,0.17138836451728517,0.0,2.081123168923353,32.50797347881703
options_end,10,clean_correct_wrapped,285,3420,0.15379274903558293,0.3720126036680073,0.5258053527035903,0.4741946464099469,0.0,2.2911414859456976,4.036694706507563
options_end,10,corrupt_wrong_wrapped,285,3420,0.1516115211275665,0.3726501317348348,0.5242616528624013,0.4757383485244624,0.0,2.2855163482938243,10.67436957033291
options_end,10,vanilla_same_item,285,3420,0.527817856182061,0.33007686433077826,0.8578947205128392,0.14210527926628622,0.0,2.183217086054777,51.438470951763584
options_end,11,clean_correct_wrapped,285,3420,0.2048442749010761,0.3014319181953889,0.506276193096465,0.49372380661348575,0.0,2.5319131269136017,3.4532144194552674
options_end,11,corrupt_wrong_wrapped,285,3420,0.19966393974886457,0.30582383156028026,0.5054877713091448,0.4945122287959546,0.0,2.523895509427751,10.177342466617725
options_end,11,vanilla_same_item,285,3420,0.47302923242041395,0.27748967446658906,0.750518906887003,0.24948109371606525,0.0,2.390709436157642,46.81626733883353
options_end,12,clean_correct_wrapped,285,3420,0.13313301529167812,0.3408414208741607,0.4739744361658388,0.5260255644303012,0.0,2.242517123645858,3.236861811906821
options_end,12,corrupt_wrong_wrapped,285,3420,0.12999481089878132,0.3395049170298859,0.46949972792866723,0.530500271658178,0.0,2.229481359832642,7.075830763536706
options_end,12,vanilla_same_item,285,3420,0.531365425124552,0.28540477599423497,0.816770201118787,0.18322979968458122,0.0,2.102819305170349,48.4637215194334
options_end,13,clean_correct_wrapped,285,3420,0.08975246300949957,0.4790960734097847,0.5688485364192843,0.4311514638147802,0.0,2.462647215551452,11.469921033166361
options_end,13,corrupt_wrong_wrapped,285,3420,0.08801437861854283,0.4836802174671205,0.5716945960856633,0.4283054041675814,0.0,2.4581291302080044,58.35354953758158
options_end,13,vanilla_same_item,285,3420,0.27936073057271804,0.4308710874145562,0.7102318179872742,0.28976818196272675,0.0,2.3947715387445445,190.69926456048879
options_end,14,clean_correct_wrapped,285,3420,0.07752097550122439,0.21681363783327876,0.29433461333450317,0.7056653865354808,0.0,1.6959983486657073,66.83529213004846
options_end,14,corrupt_wrong_wrapped,285,3420,0.0752586505187608,0.2163396770035032,0.29159832752226406,0.7084016737005933,0.0,1.687676914677103,46.06738969202606
options_end,14,vanilla_same_item,285,3420,0.5492803677357937,0.19309853130765178,0.7423788990434456,0.25762110041749287,0.0,1.6615162071675333,1708.3374062655728
options_end,15,clean_correct_wrapped,285,3420,0.12971572772875223,0.45474904190494075,0.584464769633693,0.41553523054190794,0.0,2.4489364096977537,2011703196.463077
options_end,15,corrupt_wrong_wrapped,285,3420,0.13009734060315908,0.4566979606573127,0.5867953012604717,0.4132046990621014,0.0,2.4515404330348183,2017126888.2884526
options_end,15,vanilla_same_item,285,3420,0.343535131569996,0.4218008507493718,0.7653359823193678,0.23466401701047385,0.0,2.3266037253230625,2358140470.5319366
options_end,16,clean_correct_wrapped,285,3420,0.19355004155882077,0.3173121907372294,0.5108622322960501,0.4891377682758125,0.0,2.7114000739148487,2.0691088078920927
options_end,16,corrupt_wrong_wrapped,285,3420,0.19262843847531608,0.31277338640814306,0.5054018248834592,0.49459817537633505,0.0,2.7064833748061754,2.293836620905933
options_end,16,vanilla_same_item,285,3420,0.5110422390321819,0.2783834005221238,0.7894256395543058,0.21057436116366873,0.0,2.598480545803469,16.938157039855973
options_end,17,clean_correct_wrapped,285,3420,0.1056053944564001,0.30311651143327306,0.40872190588967316,0.5912780943198663,0.0,2.672050448886135,1.5341048937325363
options_end,17,corrupt_wrong_wrapped,285,3420,0.10411289082393103,0.3068629293757764,0.4109758201997074,0.5890241805225412,0.0,2.671830988344219,2.1252184206510942
options_end,17,vanilla_same_item,285,3420,0.4425640473493214,0.2630559050103925,0.705619952359714,0.29438004782835253,0.0,2.4186709143134237,8.088267676589581
options_end,18,clean_correct_wrapped,285,3420,0.08657489437574356,0.3776536697634664,0.46422856413921,0.5357714374241629,0.0,2.4596526142797974,4.89622543065276
options_end,18,corrupt_wrong_wrapped,285,3420,0.08865320271773279,0.37887823451172525,0.46753143722945806,0.5324685644633309,0.0,2.461144006461428,6.108241823624386
options_end,18,vanilla_same_item,285,3420,0.34003893746994435,0.36326422678148046,0.7033031642514248,0.2966968358953801,0.0,2.306458452030232,119.43249996130557
options_end,19,clean_correct_wrapped,285,3420,0.0539700485374221,0.2316551808883488,0.2856252294257709,0.7143747705695279,0.0,1.8878988494780677,2.49548435341451
options_end,19,corrupt_wrong_wrapped,285,3420,0.0571856732579321,0.23308544597135333,0.29027111922928545,0.7097288818248378,0.0,1.8771140418380325,2.9203685743504866
options_end,19,vanilla_same_item,285,3420,0.4185119503684892,0.21978477287831003,0.6382967232467992,0.36170327516625994,0.0,1.7449346794872083,17.043617960646458
options_end,20,clean_correct_wrapped,285,3420,0.0877308182756221,0.20766406638145335,0.2953948846570754,0.7046051148706448,0.0,2.0763575703777066,1.1118111924624117
options_end,20,corrupt_wrong_wrapped,285,3420,0.08875143664225808,0.21171132544661217,0.3004627620888703,0.6995372372358079,0.0,2.08961371748071,1.1476986903479027
options_end,20,vanilla_same_item,285,3420,0.4594512742271865,0.1758945026944251,0.6353457769216116,0.3646542227742935,0.0,2.0331156957524215,8.198698266832256
options_end,21,clean_correct_wrapped,285,3420,0.11989077634727266,0.13618579256840105,0.2560765689156737,0.7439234301164659,0.0,2.2951829060432853,0.5508517233403133
options_end,21,corrupt_wrong_wrapped,285,3420,0.12670032141644835,0.145393682665893,0.27209400408234136,0.7279059970081506,0.0,2.2972768341370844,0.6240627412153014
options_end,21,vanilla_same_item,285,3420,0.5468769632243791,0.11604462754141781,0.6629215907657969,0.3370784083155953,0.0,2.2077943536011797,7.019491997209884
options_end,22,clean_correct_wrapped,285,3420,0.07087698366104199,0.25611997976328194,0.3269969634243239,0.6730030356161059,0.0,1.9056364303705289,2.6075418915046327
