condition,anchor,layer,n_items,n_rows,n_positions,patched_accuracy,mean_margin_improvement,mean_recovery,donor_item_equals_target_rate,same_label_rate
same_label_cross_item_clean_to_corrupt,all_option_ends,8,285,285,4.0,0.1368421052631579,0.7802631578947369,0.13706208393932606,0.0,1.0
vanilla_to_corrupt,all_option_ends,8,285,285,4.0,0.06666666666666667,0.25043859649122807,0.05000316043659057,1.0,1.0
cross_item_clean_to_corrupt,all_option_ends,10,285,285,4.0,0.12280701754385964,0.7677631578947368,0.14694197092804173,0.0,0.21754385964912282
different_label_cross_item_clean_to_corrupt,all_option_ends,10,285,285,4.0,0.14035087719298245,0.7070175438596491,0.1287811081250314,0.0,0.0
same_item_clean_to_corrupt,all_option_ends,10,285,285,4.0,0.06666666666666667,0.35986842105263156,0.07189396231545477,1.0,1.0
same_label_cross_item_clean_to_corrupt,all_option_ends,10,285,285,4.0,0.16140350877192983,0.8449561403508772,0.14776391713122086,0.0,1.0
vanilla_to_corrupt,all_option_ends,10,285,285,4.0,0.08421052631578947,0.30679824561403507,0.05879802294783656,1.0,1.0
cross_item_clean_to_corrupt,all_option_ends,12,285,285,4.0,0.11578947368421053,0.681359649122807,0.13479530484295,0.0,0.21754385964912282
different_label_cross_item_clean_to_corrupt,all_option_ends,12,285,285,4.0,0.12631578947368421,0.7539473684210526,0.13054999892821373,0.0,0.0
same_item_clean_to_corrupt,all_option_ends,12,285,285,4.0,0.11228070175438597,0.5657894736842105,0.10405897961123937,1.0,1.0
same_label_cross_item_clean_to_corrupt,all_option_ends,12,285,285,4.0,0.19298245614035087,1.1359649122807018,0.21488315365827407,0.0,1.0
vanilla_to_corrupt,all_option_ends,12,285,285,4.0,0.10877192982456141,0.4410087719298246,0.0806647010243103,1.0,1.0
cross_item_clean_to_corrupt,all_option_ends,14,285,285,4.0,0.10175438596491228,0.694078947368421,0.13454720395302677,0.0,0.21754385964912282
different_label_cross_item_clean_to_corrupt,all_option_ends,14,285,285,4.0,0.11578947368421053,0.7708333333333334,0.1344058071390668,0.0,0.0
same_item_clean_to_corrupt,all_option_ends,14,285,285,4.0,0.12982456140350876,0.7219298245614035,0.12865706257670687,1.0,1.0
same_label_cross_item_clean_to_corrupt,all_option_ends,14,285,285,4.0,0.16140350877192983,1.1631578947368422,0.2216054368548456,0.0,1.0
vanilla_to_corrupt,all_option_ends,14,285,285,4.0,0.11228070175438597,0.5342105263157895,0.09075648820083607,1.0,1.0
cross_item_clean_to_corrupt,all_option_ends,16,285,285,4.0,0.07017543859649122,0.4861842105263158,0.08668869503378873,0.0,0.21754385964912282
different_label_cross_item_clean_to_corrupt,all_option_ends,16,285,285,4.0,0.06315789473684211,0.47149122807017546,0.07850262649649481,0.0,0.0
same_item_clean_to_corrupt,all_option_ends,16,285,285,4.0,0.12982456140350876,0.7872807017543859,0.1384462358392712,1.0,1.0
same_label_cross_item_clean_to_corrupt,all_option_ends,16,285,285,4.0,0.16842105263157894,1.1995614035087718,0.2444099938383082,0.0,1.0
vanilla_to_corrupt,all_option_ends,16,285,285,4.0,0.10877192982456141,0.5447368421052632,0.09261195337670902,1.0,1.0
cross_item_clean_to_corrupt,options_end,2,285,285,1.0,0.10877192982456141,0.41228070175438597,0.07074792287207617,0.0,0.21754385964912282
different_label_cross_item_clean_to_corrupt,options_end,2,285,285,1.0,0.0912280701754386,0.32719298245614037,0.05058922548104089,0.0,0.0
same_item_clean_to_corrupt,options_end,2,285,285,1.0,0.02456140350877193,0.05416666666666667,0.01068922718197876,1.0,1.0
same_label_cross_item_clean_to_corrupt,options_end,2,285,285,1.0,0.09473684210526316,0.2769736842105263,0.04188053661662492,0.0,1.0
vanilla_to_corrupt,options_end,2,285,285,1.0,0.021052631578947368,0.043859649122807015,0.007866707433799087,1.0,1.0
cross_item_clean_to_corrupt,options_end,4,285,285,1.0,0.12631578947368421,0.4085526315789474,0.07505446465679214,0.0,0.21754385964912282
different_label_cross_item_clean_to_corrupt,options_end,4,285,285,1.0,0.10877192982456141,0.3050438596491228,0.047184233076421736,0.0,0.0
same_item_clean_to_corrupt,options_end,4,285,285,1.0,0.021052631578947368,0.059429824561403506,0.011433469259487437,1.0,1.0
same_label_cross_item_clean_to_corrupt,options_end,4,285,285,1.0,0.10877192982456141,0.30043859649122806,0.04236699976922263,0.0,1.0
vanilla_to_corrupt,options_end,4,285,285,1.0,0.021052631578947368,0.058333333333333334,0.0106057683526126,1.0,1.0
cross_item_clean_to_corrupt,options_end,6,285,285,1.0,0.12982456140350876,0.41732456140350876,0.07923484888361756,0.0,0.21754385964912282
